Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2022-04-23,Manchester City 5:1 Watford,14,Aymeric Laporte,Defender,1,0,0,1,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,0,Win,2,0.1111111111111111,0,0.17376857421975425
2022-05-08,Manchester City 5:0 Newcastle United,14,Aymeric Laporte,Defender,0,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,0,Win,2,0.15789473684210525,0,0.37228777829194304
2022-05-11,Wolverhampton Wanderers 1:5 Manchester City,14,Aymeric Laporte,Defender,1,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,0,Win,2,0.15,0,0.37228777829194304
2022-05-15,West Ham United 2:2 Manchester City,14,Aymeric Laporte,Defender,0,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,0,Draw,0,0.19047619047619047,0,0.37228777829194304
2022-05-22,Manchester City 3:2 Aston Villa,14,Aymeric Laporte,Defender,0,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,0,Win,2,0.18181818181818182,0,0.37228777829194304
2021-08-15,Tottenham Hotspur 1:0 Manchester City,22,Benjamin Mendy,Defender,0,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,0,Loss,1,0.17391304347826086,0,1.0
2021-09-11,Leicester City 0:1 Manchester City,22,Benjamin Mendy,Defender,0,0,0,0,0,0.7481481481481481,0.6896551724137931,0.0,0.8876689189189192,0.5531267293857222,0,Win,2,0.0,0,0.5991439148542343
2021-11-21,Manchester City 3:0 Everton,96,Ben Knight,Midfielder,0,0,0,0,1,0.01975308641975293,0.09717868338558,0.7179487179487181,1.0000000000000002,0.0,4,Win,2,0.0,0,0.02776492364645998
2021-08-15,Tottenham Hotspur 1:0 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,1,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,5,Loss,1,0.0,0,1.0
2021-08-28,Manchester City 5:0 Arsenal,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,5,Win,2,1.0,0,1.0
